danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,country
0.782,0.643,8,-4.956,0,0.0438,0.0136,0.0,0.0654,0.627,114.994,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,250435,4,Brazil
0.925,0.454,3,-3.533,0,0.273,0.252,4.19e-06,0.128,0.771,135.02,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,125245,4,Brazil
0.885,0.834,3,-3.374,1,0.0394,0.403,3.22e-05,0.0865,0.84,124.018,spotify:track:4QWumyD2uwiePBBha9XBHI,183871,4,Brazil
0.867,0.494,1,-6.514,0,0.084,0.118,0.0,0.101,0.29,118.868,spotify:track:7afaZ37wJJL6880z1NRgJS,165882,4,Brazil
0.764,0.796,6,-4.611,0,0.033,0.193,0.0,0.0853,0.924,140.072,spotify:track:2qmG7dokbGpDGD0T5wORWt,166436,4,Brazil
0.732,0.831,0,-3.791,0,0.0691,0.554,0.0,0.903,0.684,123.942,spotify:track:6Zw25LRLP0j0MsezDFIUM4,177935,4,Brazil
0.778,0.571,9,-4.776,0,0.0788,0.0423,0.0,0.0964,0.554,134.999,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,110222,4,Brazil
0.541,0.713,0,-4.313,1,0.0368,0.586,0.0,0.661,0.285,110.414,spotify:track:1K8AtBJXcdq5mywMnZuARP,187381,4,Brazil
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,spotify:track:4LRPiXqCikLlN15c3yImP7,167303,4,Brazil
0.534,0.85,0,-4.142,1,0.0861,0.255,0.0,0.632,0.341,143.958,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,154868,4,Brazil
0.93,0.673,6,-6.298,1,0.409,0.275,0.0,0.142,0.95,129.967,spotify:track:4SIBZgMomGFnrIWjmq7Np8,115846,4,Brazil
0.812,0.736,4,-5.421,0,0.0833,0.152,0.00254,0.0914,0.396,91.993,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,193806,4,Brazil
0.441,0.915,3,-4.096,0,0.112,0.306,0.0,0.252,0.726,185.936,spotify:track:53RxHysDJ0cjugMcPymwja,153226,4,Brazil
0.821,0.609,6,-6.541,0,0.268,0.378,0.0,0.136,0.516,133.133,spotify:track:0NBgyml7T0IvUNbXIkcSpH,141770,4,Brazil
0.894,0.859,5,-2.981,0,0.0471,0.159,0.000153,0.075,0.888,134.947,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,145854,4,Brazil
0.772,0.647,10,-5.404,1,0.0758,0.707,0.0,0.113,0.801,130.183,spotify:track:3ITkrUvAA6gzxer2UIom3P,162539,5,Brazil
0.985,0.698,0,-2.531,1,0.0341,0.142,0.0,0.321,0.914,119.959,spotify:track:0qYW2jULeN9giEty0ee9Fy,158000,4,Brazil
0.456,0.84,8,-3.637,0,0.283,0.519,0.0,0.96,0.589,157.612,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,191524,4,Brazil
0.687,0.589,3,-4.244,1,0.0377,0.691,0.0,0.0882,0.594,109.482,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,158716,4,Brazil
0.572,0.616,4,-2.609,0,0.083,0.227,0.0,0.0728,0.545,83.04,spotify:track:4NJKCE1TBC653P3dCnto0u,161077,3,Brazil
0.292,0.626,11,-4.78,1,0.0533,0.571,0.0,0.87,0.305,162.824,spotify:track:14JKzKrJbPDflw8XyATMey,190162,4,Brazil
0.789,0.519,2,-4.84,0,0.0697,0.659,0.0,0.085,0.857,154.037,spotify:track:3QGxgNaqaFSpORp2OVLXHR,150610,4,Brazil
0.828,0.721,1,-4.274,0,0.0558,0.153,0.0,0.547,0.651,129.092,spotify:track:6nkoWsFZeFt5dUdNmlIceh,168689,4,Brazil
0.486,0.871,3,-3.642,0,0.258,0.617,0.0,0.97,0.663,151.175,spotify:track:3IMLoeLerS7TMpKjxUgAhx,153410,4,Brazil
0.427,0.834,10,-4.169,1,0.0978,0.434,0.0,0.939,0.32,179.089,spotify:track:3XF598RmEUF3XW4XKo1lyP,208007,3,Brazil
0.704,0.724,11,-5.577,0,0.0514,0.0988,0.0,0.0796,0.733,156.101,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,156154,4,Brazil
0.799,0.685,6,-5.366,0,0.0725,0.276,0.0,0.13,0.623,122.013,spotify:track:4qsOrxBv09HhNSpsgMRXdC,169059,4,Brazil
0.682,0.695,1,-3.763,0,0.0852,0.454,0.0,0.305,0.728,129.998,spotify:track:4EVzu5mYyigjyLrryKbZs7,152690,4,Brazil
0.636,0.665,11,-5.172,0,0.0503,0.451,0.0,0.338,0.374,91.976,spotify:track:4can6ssapSsRCEbZZfYL8K,472174,4,Brazil
0.688,0.458,1,-9.138,0,0.588,0.14,0.0,0.407,0.559,124.553,spotify:track:0yL7K9MzC20uBesZTPY81r,177000,4,Brazil
0.729,0.596,0,-5.101,1,0.0607,0.463,0.0,0.18,0.319,117.918,spotify:track:7HjZD0NPC1hzFpjUjo45GR,214236,4,Brazil
0.63,0.844,4,-7.265,0,0.0368,0.27,2.04e-05,0.46,0.932,74.987,spotify:track:5lCAtKxkZL6tFDyGX9t87j,135200,4,Brazil
0.608,0.82,6,-3.689,1,0.119,0.611,0.0,0.933,0.673,108.394,spotify:track:0tM4J8aID6qYZOE3e14sCj,169772,4,Brazil
0.48,0.93,2,-4.441,1,0.143,0.0302,0.0,0.689,0.641,160.063,spotify:track:42nZBOwXNdO24Ml032bLBS,155284,4,Brazil
0.758,0.809,11,-4.065,0,0.0566,0.0219,0.0,0.161,0.962,151.097,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,181174,4,Brazil
0.561,0.889,8,-3.654,0,0.166,0.41,0.0,0.624,0.89,155.859,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,161846,4,Brazil
0.532,0.426,3,-6.117,1,0.0288,0.639,0.0,0.134,0.137,149.898,spotify:track:2gzhQaCTeNgxpeB2TPllyY,201905,3,Brazil
0.693,0.936,7,-1.322,1,0.0524,0.302,0.0,0.339,0.835,166.034,spotify:track:72g37RoelSnovZakG5MwnF,179032,4,Brazil
0.606,0.733,9,-4.46,1,0.175,0.368,0.0,0.144,0.672,166.199,spotify:track:3YvE7uo4ffseBoJPh8IhHp,196210,4,Brazil
0.886,0.909,2,-1.84,0,0.0642,0.125,0.0,0.0755,0.816,130.027,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,156923,4,Brazil
0.742,0.439,3,-5.141,0,0.28,0.637,0.0,0.0876,0.842,85.974,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,210461,3,Brazil
0.424,0.702,1,-4.375,1,0.0426,0.681,0.0,0.0885,0.555,146.953,spotify:track:0roEMqT0P7Z82rJTwcID3Z,165559,4,Brazil
0.736,0.798,1,-2.63,1,0.118,0.42,0.0,0.309,0.696,123.804,spotify:track:4grGI2vFnknrfmHT1JOVFU,173376,4,Brazil
0.407,0.927,9,-4.762,0,0.28,0.107,0.0,0.568,0.375,180.171,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,171500,4,Brazil
0.612,0.661,5,-5.175,0,0.133,0.163,0.0,0.103,0.659,172.467,spotify:track:2AQJRDfQJbfgmTf5e62Czl,267130,3,Brazil
0.763,0.859,4,-3.3,0,0.0479,0.322,0.0003,0.117,0.813,164.055,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,156760,4,Brazil
0.782,0.845,2,-3.731,1,0.0721,0.501,0.0,0.713,0.771,121.95,spotify:track:4dwBkgq4a4gEissxTY0YDT,213006,4,Brazil
0.955,0.659,0,-3.531,0,0.382,0.411,0.00731,0.148,0.495,129.962,spotify:track:6pojmlhRI1fBUNg0pZSA9M,158769,4,Brazil
0.763,0.85,1,-4.036,0,0.0409,0.285,0.0,0.104,0.77,150.009,spotify:track:3gK5ckT0cq3t5enyqzzRgV,140500,4,Brazil
0.644,0.938,8,-3.643,1,0.0602,0.216,1.69e-06,0.164,0.748,169.9,spotify:track:4fSHADbZbhpZCT9oJpxwbP,188096,4,Brazil
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,spotify:track:4LRPiXqCikLlN15c3yImP7,167303,4,USA
0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,173948,4,USA
0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,spotify:track:02MWAaffLxlfxAUY7c5dvx,238805,4,USA
0.376,0.657,7,-4.658,1,0.0768,0.0858,0.0,0.0884,0.203,80.565,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,164782,4,USA
0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,212353,4,USA
0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,spotify:track:5PjdY0CKGZdEuoNab3yDmX,141806,4,USA
0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,172627,4,USA
0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,173381,4,USA
0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,spotify:track:68Dni7IE4VyPkTOH9mRWHr,292799,4,USA
0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,spotify:track:4ZtFanR9U6ndgddUvNcjcG,178147,4,USA
0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,spotify:track:6I3mqTwhRpn34SLVafSH7G,153190,4,USA
0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,spotify:track:1Y5Jvi3eLi4Chwqch9GMem,200548,4,USA
0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,210560,4,USA
0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,spotify:track:0y60itmpH0aPKsFiGxmtnh,196520,4,USA
0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,spotify:track:2DB4DdfCFMw1iaR6JaR03a,206071,4,USA
0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,242966,4,USA
0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,spotify:track:58ge6dfP91o9oXMzq3XkIS,253587,4,USA
0.578,0.431,2,-7.034,1,0.0269,0.469,0.0,0.137,0.21,116.979,spotify:track:1TUuhV75FeOF6UObRsABo2,226975,3,USA
0.603,0.783,6,-4.023,1,0.062,0.449,7.96e-06,0.119,0.775,172.041,spotify:track:37y7iDayfwm3WXn5BiAoRk,173104,4,USA
0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,143901,4,USA
0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,226088,4,USA
0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,spotify:track:4SqWKzw0CbA05TGszDgMlc,160240,4,USA
0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,240400,4,USA
0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,spotify:track:59CfNbkERJ3NoTXDvoURjj,153000,3,USA
0.647,0.581,4,-7.678,0,0.0884,0.0029,7.76e-06,0.119,0.113,150.149,spotify:track:62Yo3FDddWY8ydu6PW2wyz,206385,4,USA
0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,spotify:track:50nfwKoDiSYg8zOCREWAm5,207853,4,USA
0.577,0.45,0,-8.516,0,0.0834,0.357,0.0,0.111,0.83,205.863,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,216120,4,USA
0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,spotify:track:3QFInJAm9eyaho5vBzxInN,252262,4,USA
0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,202735,4,USA
0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,spotify:track:7KA4W4McWYRpgf0fWsJZWB,180387,4,USA
0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,spotify:track:5CZ40GBx1sQ9agT82CLQCT,229227,4,USA
0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,spotify:track:3cBsEDNhFI9E82vPj3kvi3,178520,3,USA
0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,spotify:track:58HvfVOeJY7lUuCqF0m3ly,184448,3,USA
0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,spotify:track:3DarAbFujv6eYNliUTyqtz,208667,4,USA
0.535,0.618,2,-5.668,1,0.382,0.0245,0.0,0.103,0.211,165.991,spotify:track:6ws54n2IzyrIxxyzlG2bVJ,213976,4,USA
0.787,0.522,8,-5.872,1,0.463,0.0668,0.0,0.108,0.666,170.439,spotify:track:2PljnVsnl2PRwCvfhbdQup,163765,4,USA
0.684,0.449,3,-9.738,1,0.611,0.869,0.0,0.0881,0.341,66.165,spotify:track:6Z165JvPnS8PYvGW8oLGLc,157373,4,USA
0.693,0.575,2,-7.633,1,0.0906,0.121,0.0,0.104,0.353,138.016,spotify:track:7BbaIYAdi3pg4MGl6PHwPv,160052,4,USA
0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,spotify:track:4RVwu0g32PAqgUiJoXsdF8,298899,3,USA
0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,spotify:track:3GZD6HmiNUhxXYf8Gch723,234093,4,USA
0.684,0.545,1,-6.885,1,0.121,0.159,0.0,0.102,0.407,143.049,spotify:track:1HvTxgCj0mTzQlEo0zLvFb,135264,4,USA
0.594,0.679,7,-3.702,1,0.345,0.484,7.83e-06,0.114,0.66,106.726,spotify:track:1dp8aQANyTRKssDeAYPiZe,152613,5,USA
0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,spotify:track:7dSZ6zGTQx66c2GF91xCrb,210200,4,USA
0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,215507,4,USA
0.687,0.781,1,-4.806,1,0.053,0.0361,0.0,0.0755,0.688,97.014,spotify:track:00Blm7zeNqgYLPtW6zg8cj,193507,4,USA
0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,spotify:track:3WMj8moIAXJhHsyLaqIIHI,228013,3,USA
0.744,0.608,2,-6.386,1,0.0442,0.0295,0.0,0.397,0.0692,130.045,spotify:track:6OrTKLtcF7EBayOV2QqkSK,221538,4,USA
0.426,0.225,8,-12.422,1,0.0291,0.823,0.367,0.11,0.0643,104.506,spotify:track:2WL6GQzPuK9Nrpy9XwNEbz,232204,4,USA
0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426,spotify:track:0uxSUdBrJy9Un0EYoBowng,220587,4,USA
0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,386907,4,USA
0.628,0.775,2,-4.479,1,0.0535,0.159,0.0,0.33,0.674,106.382,spotify:track:4IfrM44LofE9bSs6TDZS49,278119,3,Japan
0.542,0.918,6,-5.074,1,0.0937,0.0101,0.0,0.259,0.784,150.094,spotify:track:60ReNXcPcsVFd7nUuQw5HZ,213438,4,Japan
0.596,0.735,9,-6.362,1,0.0332,0.0748,0.0,0.269,0.524,108.106,spotify:track:1Vqs0lXeJafYZz2sxnfB3V,234324,4,Japan
0.367,0.671,5,-4.604,1,0.0478,0.222,0.0,0.494,0.691,179.833,spotify:track:4JK1kDUdH9RTBQrrSO1QfR,230600,4,Japan
0.598,0.511,4,-6.015,1,0.0423,0.245,0.0,0.0732,0.652,171.845,spotify:track:5W7Y92LB4jWvu9NeEQ0GZl,219253,4,Japan
0.628,0.533,0,-7.235,1,0.0417,0.643,0.0,0.0733,0.459,79.953,spotify:track:0J0P8iSE6l3pYHbUdNFYdS,193990,4,Japan
0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,spotify:track:5SuOikwiRyPMVoIQDJUgSV,230667,4,Japan
0.463,0.603,7,-5.464,1,0.0276,0.495,0.0,0.167,0.477,148.089,spotify:track:4kPlQKwtPrnqLgrmmKFSlA,286360,4,Japan
0.419,0.75,10,-3.546,1,0.0316,0.011,0.0,0.159,0.436,145.867,spotify:track:5m1i6hq7dmRlp3c1utE48L,285396,4,Japan
0.367,0.896,11,-4.002,1,0.091,0.000627,0.0,0.207,0.38,170.863,spotify:track:7v8wKvNQQIxkugCFFjrkaO,184893,4,Japan
0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,177187,4,Japan
0.549,0.861,1,-2.526,1,0.0459,0.22,0.0,0.361,0.739,82.042,spotify:track:2IL2asrtx7XM1y8fu2RMnR,248653,4,Japan
0.746,0.764,2,-6.833,1,0.0462,0.00803,0.0,0.357,0.701,116.982,spotify:track:51oc6MEsXTpnPn6GOw5VuP,231883,4,Japan
0.606,0.579,5,-5.582,1,0.033,0.512,0.0,0.381,0.661,149.988,spotify:track:19mjCzLuMHZ0Tyn3eI85bo,248947,4,Japan
0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,spotify:track:1mWdTewIgB3gtBM3TOSFhB,164442,4,Japan
0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,199054,4,Japan
0.595,0.909,6,-3.594,0,0.0341,6.4e-05,0.000355,0.387,0.537,118.021,spotify:track:5PeXak0Ox3JmH2oor0qnGt,255914,4,Japan
0.448,0.447,6,-7.161,0,0.045,0.234,0.0,0.382,0.299,78.861,spotify:track:0XZyF9lv6diMt4bxThOL0h,251533,4,Japan
0.725,0.853,10,-3.193,1,0.0516,0.305,0.0,0.115,0.707,134.991,spotify:track:1zd35Y44Blc1CwwVbW3Qnk,248027,4,Japan
0.204,0.708,1,-5.425,1,0.0458,0.442,0.0,0.319,0.278,83.443,spotify:track:6ZiEWet0uFRwWBCEKCQ8rY,307667,4,Japan
0.5,0.964,2,-4.19,1,0.124,0.00723,6.2e-05,0.0557,0.662,159.971,spotify:track:7ncPjJBktLEOpstY5JOUMK,190607,4,Japan
0.702,0.741,9,-5.33,1,0.0427,0.00544,0.0,0.337,0.646,124.925,spotify:track:3XYRV7ZSHqIRDG87DKTtry,187585,4,Japan
0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,spotify:track:5PjdY0CKGZdEuoNab3yDmX,141806,4,Japan
0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,spotify:track:6MCjmGYlw6mQVWRFVgBRvB,258840,4,Japan
0.502,0.632,0,-4.612,1,0.0273,0.447,0.0,0.103,0.308,152.014,spotify:track:1sIIlVrnPhrvmTrHtzM7tV,307067,4,Japan
0.622,0.309,10,-6.291,0,0.0481,0.776,0.0,0.122,0.571,73.897,spotify:track:3PK5ERLCyMuQ5Cb89GbZVL,208896,4,Japan
0.642,0.587,10,-5.53,1,0.0268,0.293,0.0,0.0784,0.361,89.96,spotify:track:6tkSMR8bEIfEcJn7ybJtSP,269547,4,Japan
0.718,0.475,7,-11.469,1,0.0611,0.845,0.801,0.105,0.678,157.032,spotify:track:4xk70Qur2QeRmWIzWPC63V,230110,4,Japan
0.346,0.901,1,-4.617,1,0.12,0.0103,0.0,0.358,0.434,199.934,spotify:track:6wDntdm888mDo458RaYjGl,241680,4,Japan
0.808,0.903,9,-2.179,1,0.0729,0.0899,0.0,0.0816,0.922,120.044,spotify:track:1qE8DOtw7zdXHMgZm20eLM,198053,4,Japan
0.661,0.448,6,-5.761,1,0.0522,0.543,0.0,0.0818,0.299,78.114,spotify:track:6cvKfEw8rDcmXBslqSEC9G,271280,4,Japan
0.598,0.847,1,-2.54,1,0.205,0.0655,9.92e-05,0.307,0.728,169.959,spotify:track:6uhIF5J5Txaie0is2nXdxU,205480,4,Japan
0.785,0.907,10,-2.657,1,0.0938,0.00122,3.11e-06,0.213,0.685,126.004,spotify:track:0hQNbQKW2dDATH1ngj4TI6,183693,4,Japan
0.619,0.941,8,-1.618,1,0.0584,0.0439,1.73e-05,0.318,0.624,137.967,spotify:track:6IO5nn84TKArsi3cjpIqaD,242067,4,Japan
0.725,0.75,11,-5.694,1,0.0772,0.0242,0.0,0.101,0.888,101.19,spotify:track:6qn31XzTa6YKXs5FZpAPgP,171547,4,Japan
0.666,0.923,5,-2.362,0,0.0712,0.0836,0.0,0.315,0.861,128.014,spotify:track:0UBUg8NU4XJtQqzTPs8Pkr,220253,4,Japan
0.78,0.814,7,-3.617,1,0.0291,0.0432,8.28e-05,0.168,0.59,108.025,spotify:track:0FOVGBW0RpVRuDuUuN4ZVw,166967,4,Japan
0.516,0.791,3,-1.927,1,0.0318,0.00345,0.0,0.141,0.48,96.921,spotify:track:278JqkBGkjDovOYAwE8TW7,324633,4,Japan
0.506,0.769,3,-5.326,1,0.0363,0.113,0.0,0.0828,0.536,154.044,spotify:track:6sIx7Cn37DGEhjy9hBP8Gx,276040,4,Japan
0.66,0.576,3,-5.627,1,0.0363,0.0879,0.0,0.0599,0.561,80.978,spotify:track:7DyS11kB1YNrfDzQqtjmTh,193013,4,Japan
0.538,0.869,8,-3.464,1,0.0275,0.047,0.0,0.14,0.369,91.972,spotify:track:15HNdxGKNCIO9pgaY4n7FU,326843,4,Japan
0.709,0.962,1,-0.753,1,0.106,0.153,1.77e-06,0.621,0.767,128.013,spotify:track:0871AdnvzzSGr5XdTJaDHC,210347,4,Japan
0.828,0.731,9,-3.033,1,0.111,0.0617,0.0,0.048,0.587,119.978,spotify:track:7n2FZQsaLb7ZRfRPfEeIvr,178453,4,Japan
0.663,0.731,1,-7.335,1,0.0338,0.00892,0.0502,0.293,0.356,97.025,spotify:track:3OdkC5pG8vc26S26qHyBo8,225920,4,Japan
0.619,0.802,0,-6.618,1,0.0629,0.0831,0.0,0.361,0.535,109.982,spotify:track:3oQaOjaIYPsnJbGNzXcIID,231386,4,Japan
0.546,0.663,9,-6.071,1,0.0536,0.00938,0.0,0.178,0.407,171.698,spotify:track:5wWLNNwMAehpj83FU4Lz0m,282680,4,Japan
0.488,0.638,8,-4.502,1,0.058,0.0258,2.24e-05,0.12,0.713,207.906,spotify:track:6ts1KCOudfDYXYfyWtq0k1,188060,4,Japan
0.668,0.814,8,-3.732,1,0.0287,0.109,0.0,0.119,0.584,99.98,spotify:track:2cBAc8f0ueFKSXGQRJRsyN,218853,4,Japan
0.543,0.622,5,-4.735,1,0.03,0.0643,0.0,0.17,0.327,143.931,spotify:track:7eqjbcOZTgZbV0lX2ghtfV,257400,4,Japan
0.584,0.911,5,-3.515,0,0.09,0.0119,0.0,0.119,0.606,92.502,spotify:track:6y4GYuZszeXNOXuBFsJlos,221426,4,Japan
0.456,0.91,0,-2.659,1,0.136,0.256,0.0,0.0921,0.329,95.927,spotify:track:2uky0VCI2EZni0nArOPznM,258542,4,Spain
