DANCEABILITY,ENERGY,KEY,LOUDNESS,MODE,SPEECHINESS,ACOUSTICNESS,INSTRUMENTALNESS,LIVENESS,VALENCE,TEMPO,DURATION_MS,TIME_SIGNATURE,REGIÃO
0.642,0.6,8,-2.718,1,0.457,0.369,0.0,0.223,0.816,161.952,205427,5,BELO HORIZONTE
0.921,0.534,6,-0.485,0,0.397,0.595,0.0,0.124,0.311,130.034,195692,4,BELO HORIZONTE
0.888,0.58,10,-0.496,1,0.24,0.598,0.0,0.114,0.398,130.107,151038,4,BELO HORIZONTE
0.665,0.507,0,-11.036,1,0.0546,0.489,0.00102,0.197,0.51,87.017,134574,4,BELO HORIZONTE
0.917,0.621,6,-3.779,0,0.157,0.095,0.0,0.0996,0.712,133.146,191567,4,BELO HORIZONTE
0.816,0.583,10,-1.216,0,0.119,0.585,0.0,0.14,0.671,129.903,112154,4,BELO HORIZONTE
0.857,0.469,6,-3.549,0,0.0649,0.582,0.0,0.0917,0.528,86.569,184615,5,BELO HORIZONTE
0.909,0.462,4,-2.848,0,0.0581,0.631,0.0,0.61,0.882,129.945,166154,4,BELO HORIZONTE
0.908,0.554,5,-4.138,1,0.0508,0.214,0.0,0.0592,0.71,129.841,156970,4,BELO HORIZONTE
0.7,0.677,4,-3.552,0,0.38,0.295,3.52e-06,0.217,0.405,85.436,123692,5,BELO HORIZONTE
0.798,0.599,6,-2.411,0,0.147,0.509,5.3e-06,0.135,0.811,86.654,136202,3,BELO HORIZONTE
0.83,0.487,4,-0.78,0,0.0964,0.339,1.9e-06,0.0823,0.694,86.671,149538,3,BELO HORIZONTE
0.823,0.934,4,-3.046,0,0.0447,0.192,0.0,0.424,0.967,156.023,165020,4,BELO HORIZONTE
0.827,0.511,5,-5.248,1,0.0522,0.0421,0.0,0.246,0.583,129.968,245159,4,BELO HORIZONTE
0.785,0.869,0,-2.169,1,0.0389,0.114,0.0,0.347,0.886,134.024,180905,4,BELO HORIZONTE
0.62,0.943,5,-2.171,1,0.0435,0.363,0.0,0.0705,0.968,167.945,201974,4,BELO HORIZONTE
0.575,0.541,4,-11.308,1,0.148,0.71,0.000151,0.114,0.397,88.811,196811,4,BELO HORIZONTE
0.754,0.645,6,0.353,0,0.0465,0.492,1.08e-05,0.108,0.721,86.742,157153,5,BELO HORIZONTE
0.686,0.789,1,-4.103,1,0.126,0.322,0.0,0.4,0.822,157.932,157355,4,BELO HORIZONTE
0.549,0.459,9,-4.946,0,0.115,0.742,0.0,0.103,0.422,75.912,252923,5,BELO HORIZONTE
