MÚSICA,ARTISTA,URI,REGIÃO
Festa Linda,['MC Kapela'],1KRMUEKZOh0x8GsaWBn339,SÃO PAULO
Paraíso Tropical,['Various Artists'],0eKQyaQbK3NvD7ksy7l25q,SÃO PAULO
Set DJay W 5,"['Djay W', 'Mc Vitão Do Savoy', 'MC Cebezinho']",4KoRt7H8GmOqMpfW8bWAPb,SÃO PAULO
SET DJ PEDRO 5.0,"['DJ Pedro', 'MC PV', 'MC G15']",5SR3UCUd1w1mu9FjZRp6uu,SÃO PAULO
Me Afoguei,['Various Artists'],66XUGKSyVgFbBUtvKgqLFs,SÃO PAULO
Set Dj Gm 4.0,['Various Artists'],1N6oQPKuRss4kpl4H2qt8K,SÃO PAULO
Ronco do Trovão,"['MC Cebezinho', 'MC Leozinho ZS', 'MC Ryan SP']",6jnhLVNruM8bJg9WbclKj8,SÃO PAULO
Louco e Sonhador,['MC Neguinho do Kaxeta'],6hdBsNsVESpjbnVClbUa3y,SÃO PAULO
Revoada do Tubarão,['MC Ryan SP'],0C1cJj3ZNCS75sojrcMhZV,SÃO PAULO
Um Brinde pra Nós,"['Hungria Hip Hop', 'Mc Lipi', 'Dj GM']",2B7EEPMfJWOG7VWpCkBtZy,SÃO PAULO
Coração Gelado,['Various Artists'],6pCjA2lKzvMGOeOzde3kEl,SÃO PAULO
Donos da Capital,"['Mc Kevin', 'MC Ryan SP', 'Mc Lele JP']",1qHOuyguj3oPBkd6MTnEO3,SÃO PAULO
Ilusão (Cracolândia),"['MC Hariel', 'Alok', 'MC Ryan SP']",6WXglvTFRmjlHHhgjYMNif,SÃO PAULO
Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo),"['Turma do Pagode', 'Grupo Menos É Mais']",5A4DlgM68SnFSKImnMeiUH,SÃO PAULO
Vai Tomando Foguenta,['MC Yuri'],3SwHWvT7Uze9CqI5LJowv5,SÃO PAULO
Hit Periférico #2,['Various Artists'],0LmDFm7hLDSBRfr20VQT4u,SÃO PAULO
Troca de Calçada,['Marília Mendonça'],4AAIAVjSyiq1N7SXKkwXZe,SÃO PAULO
Revoar,"['Mc Davi', 'MC Ryan SP']",7e04kqyagyBHkburAhXdil,SÃO PAULO
Nunca Encontrei,"['Malibu', 'Grupo Menos É Mais', 'Ferrugem']",3HfCqsCsNIti28HMUqWJZK,SÃO PAULO
Paradigmas,['Jorge & Mateus'],158ukl5rih76dOEsp0I91H,SÃO PAULO
MODO TURBO,"['Luísa Sonza', 'Pabllo Vittar']",0YqTL3nSL36OFdHwHoqCag,SÃO PAULO
Conto as Horas,"['Salvador Da Rima', 'MC Ryan SP']",1jjmqxL4LmMpjEqOQCAZfT,SÃO PAULO
Playlist,['Mumuzinho'],6rftze5MC2y76ivrCPemqw,SÃO PAULO
SET DJ PEDRO 4.0 - Versão 1,['Various Artists'],22c2ZWKFN4iuLVqzHAKHST,SÃO PAULO
Banco De Areia,"['Maneva', 'MC Hariel']",3aOGPU1EbkxavCXguD6NgX,SÃO PAULO
Set Djay W 3,['Various Artists'],6fHnDKC4oWc1tzQzJoOCUy,SÃO PAULO
Adorei,['Grupo Menos É Mais'],6rfNbeEGCh8M5AAj879g0r,SÃO PAULO
Esquema Preferido - Ao Vivo,['Os Barões Da Pisadinha'],35qOGx1CWvCkQFOv4BkVIV,SÃO PAULO
Se Joga,"['MC Lemos', 'MC Paulin da Capital', 'Dj GM']",6F95AJ8vDJXFemy3jG4SxW,SÃO PAULO
Set 2.0: Homenagem aos Relíquias,['Various Artists'],566AZpR4FJErkhS3CmuaWu,SÃO PAULO
Deixa de Onda (Porra Nenhuma),"['DENNIS', 'Xamã', 'Ludmilla']",0DlHQxrVijRqVUfuS6PKaY,SÃO PAULO
"Não É Conselho, É Visão","['KayBlack', 'MC Ryan SP', 'Nagalli']",22LjfafJJbajmRvtsSTGcZ,SÃO PAULO
Amor ou o Litrão - Brega Funk,"['Mila', 'Petter Ferraz', 'Menor Nico']",4WcskbAX3wImaennFI79Ll,SÃO PAULO
Golpe Trocado,['Mc Frog'],0nGOQOcurYXEWKcWi2ZrQo,SÃO PAULO
Rainha da Favela,['Ludmilla'],3vu864xi5Xis9VfOsJpmXu,SÃO PAULO
Esquece de Me Esquecer,"['Zé Felipe', 'Gusttavo Lima']",1NXeltgzjQeiC4hbf2XNVr,SÃO PAULO
Nossa História,"['WC no Beat', 'MC Paulin da Capital', 'Costa Gold']",29GcD1l8nZVGPHj4l4UHB0,SÃO PAULO
Olha os Menor em Ação 2,"['MC Leozinho ZS', 'MC Joãozinho VT', 'MC V7']",14XZcQDw5LHK7XfVQiBnni,SÃO PAULO
